Artifact,Sample Size,Average Length,SD Length,Average Width,SD Width,Average Thickness,SD Thickness,Average Mass,SD Mass
Flakes,100,60.43,17.43,41.4,14.11,NA,NA,31.15,37.64
Nodules,251,158.06,22.74,116.75,18.32,78.94,17.37,1222.5,434.26
