Individual,Session,Trial,Results
Nyota,8,9,f
Nyota,8,10,f
Nyota,9,1,c
Nyota,9,2,f
Nyota,9,3,c
Nyota,9,4,c
Nyota,9,5,f
Nyota,9,6,c
Nyota,9,7,f
Nyota,9,8,f
Nyota,9,9,c
Nyota,9,10,c
Nyota,10,1,c
Nyota,10,2,c
Nyota,10,3,f
Nyota,10,4,f
Nyota,10,5,f
Nyota,10,6,f
Nyota,10,7,f
Nyota,10,8,c
Nyota,10,9,f
Nyota,10,10,c
Nyota,11,1,f
Nyota,11,2,c
Nyota,11,3,c
Nyota,11,4,f
Nyota,11,5,c
Nyota,11,6,f
Nyota,11,7,c
Nyota,11,8,c
Nyota,11,9,f
Nyota,11,10,c
Nyota,12,1,f
Nyota,12,2,c
Nyota,12,3,c
Nyota,12,4,f
Nyota,12,5,c
Nyota,12,6,c
Nyota,12,7,c
Nyota,12,8,f
Nyota,12,9,f
Nyota,12,10,c
Nyota,13,1,f
Nyota,13,2,f
Nyota,13,3,c
Nyota,13,4,c
Nyota,13,5,c
Nyota,13,6,f
Nyota,13,7,f
Nyota,13,8,f
Nyota,13,9,f
Nyota,13,10,f
Nyota,14,1,c
Nyota,14,2,c
Nyota,14,3,f
Nyota,14,4,f
Nyota,14,5,f
Nyota,14,6,f
Nyota,14,7,c
Nyota,14,8,f
Nyota,14,9,c
Nyota,14,10,f
Nyota,15,1,c
Nyota,15,2,f
Nyota,15,3,c
Nyota,15,4,f
Nyota,15,5,c
Nyota,15,6,f
Nyota,15,7,f
Nyota,15,8,c
Nyota,15,9,f
Nyota,15,10,f
Nyota,16,1,f
Nyota,16,2,f
Nyota,16,3,f
Nyota,16,4,f
Nyota,16,5,f
Nyota,16,6,f
Nyota,16,7,f
Nyota,16,8,c
Nyota,16,9,f
Nyota,16,10,c
Nyota,17,1,f
Nyota,17,2,f
Nyota,17,3,f
Nyota,17,4,f
Nyota,17,5,f
Nyota,17,6,f
Nyota,17,7,c
Nyota,17,8,f
Nyota,17,9,f
Nyota,17,10,c
Nyota,18,1,c
Nyota,18,2,f
Nyota,18,3,f
Nyota,18,4,f
Nyota,18,5,c
Nyota,18,6,f
Nyota,18,7,f
Nyota,18,8,c
Nyota,18,9,f
Nyota,18,10,f
Nyota,19,1,c
Nyota,19,2,c
Nyota,19,3,f
Nyota,19,4,c
Nyota,19,5,f
Nyota,19,6,c
Nyota,19,7,c
Nyota,19,8,c
Nyota,19,9,c
Nyota,19,10,c
Nyota,20,1,c
Nyota,20,2,c
Nyota,20,3,f
Nyota,20,4,f
Nyota,20,5,f
Nyota,20,6,f
Nyota,20,7,f
Nyota,20,8,c
Nyota,20,9,f
Nyota,20,10,f
Nyota,21,1,c
Nyota,21,2,f
Nyota,21,3,f
Nyota,21,4,f
Nyota,21,5,c
Nyota,21,6,f
Nyota,21,7,f
Nyota,21,8,c
Nyota,21,9,f
Nyota,21,10,c
Nyota,22,1,c
Nyota,22,2,c
Nyota,22,3,f
Nyota,22,4,c
Nyota,22,5,f
Nyota,22,6,c
Nyota,22,7,c
Nyota,22,8,f
Nyota,22,9,c
Nyota,22,10,c
Nyota,23,1,f
Nyota,23,2,c
Nyota,23,3,c
Nyota,23,4,c
Nyota,23,5,f
Nyota,23,6,f
Nyota,23,7,f
Nyota,23,8,f
Nyota,23,9,f
Nyota,23,10,f
Nyota,24,1,c
Nyota,24,2,c
Nyota,24,3,c
Nyota,24,4,c
Nyota,24,5,c
Nyota,24,6,f
Nyota,24,7,f
Nyota,24,8,c
Nyota,24,9,f
Nyota,24,10,f
Nyota,25,1,f
Nyota,25,2,f
Nyota,25,3,c
Nyota,25,4,c
Nyota,25,5,f
Nyota,25,6,f
Nyota,25,7,f
Nyota,25,8,c
Nyota,25,9,f
Nyota,25,10,f
Nyota,26,1,f
Nyota,26,2,c
Nyota,26,3,f
Nyota,26,4,f
Nyota,26,5,f
Nyota,26,6,f
Nyota,26,7,f
Nyota,26,8,f
Nyota,26,9,c
Nyota,26,10,f
Nyota,27,1,f
Nyota,27,2,f
Nyota,27,3,c
Nyota,27,4,f
Nyota,27,5,f
Nyota,27,6,f
Nyota,27,7,f
Nyota,27,8,c
Nyota,27,9,c
Nyota,27,10,c
Nyota,28,1,f
Nyota,28,2,c
Nyota,28,3,f
Nyota,28,4,f
Nyota,28,5,f
Nyota,28,6,c
Nyota,28,7,f
Nyota,28,8,f
Nyota,28,9,f
Nyota,28,10,c
Nyota,29,1,f
Nyota,29,2,c
Nyota,29,3,f
Nyota,29,4,f
Nyota,29,5,f
Nyota,29,6,f
Nyota,29,7,c
Nyota,29,8,f
Nyota,29,9,c
Nyota,29,10,c
Nyota,30,1,f
Nyota,30,2,c
Nyota,30,3,c
Nyota,30,4,c
Nyota,30,5,c
Nyota,30,6,c
Nyota,30,7,c
Nyota,30,8,f
Nyota,30,9,c
Nyota,30,10,f
Nyota,31,1,c
Nyota,31,2,c
Nyota,31,3,f
Nyota,31,4,f
Nyota,31,5,f
Nyota,31,6,f
Nyota,31,7,f
Nyota,31,8,c
Nyota,31,9,c
Nyota,31,10,f
Nyota,32,1,f
Nyota,32,2,f
Nyota,32,3,c
Nyota,32,4,f
Nyota,32,5,c
Nyota,32,6,f
Nyota,32,7,f
Nyota,32,8,c
Nyota,32,9,c
Nyota,32,10,c
Nyota,33,1,f
Nyota,33,2,f
Nyota,33,3,c
Nyota,33,4,f
Nyota,33,5,c
Nyota,33,6,c
Nyota,33,7,f
Nyota,33,8,f
Nyota,33,9,f
Nyota,33,10,c
Nyota,34,1,c
Nyota,34,2,c
Nyota,34,3,f
Nyota,34,4,f
Nyota,34,5,f
Nyota,34,6,f
Nyota,34,7,f
Nyota,34,8,f
Nyota,34,9,f
Nyota,34,10,f
Maisha,1,1,f
Maisha,1,2,c
Maisha,1,3,f
Maisha,1,4,f
Maisha,1,5,f
Maisha,1,6,f
Maisha,1,7,f
Maisha,1,8,f
Maisha,1,9,c
Maisha,1,10,f
Maisha,2,1,f
Maisha,2,2,f
Maisha,2,3,c
Maisha,2,4,f
Maisha,2,5,f
Maisha,2,6,f
Maisha,2,7,f
Maisha,2,8,c
Maisha,2,9,c
Maisha,2,10,c
Maisha,3,1,c
Maisha,3,2,c
Maisha,3,3,f
Maisha,3,4,c
Maisha,3,5,f
Maisha,3,6,f
Maisha,3,7,f
Maisha,3,8,c
Maisha,3,9,f
Maisha,3,10,f
Maisha,4,1,c
Maisha,4,2,f
Maisha,4,3,c
Maisha,4,4,f
Maisha,4,5,c
Maisha,4,6,f
Maisha,4,7,f
Maisha,4,8,c
Maisha,4,9,c
Maisha,4,10,c
Maisha,5,1,c
Maisha,5,2,c
Maisha,5,3,c
Maisha,5,4,f
Maisha,5,5,f
Maisha,5,6,f
Maisha,5,7,c
Maisha,5,8,c
Maisha,5,9,c
Maisha,5,10,c
Maisha,6,1,c
Maisha,6,2,c
Maisha,6,3,f
Maisha,6,4,c
Maisha,6,5,c
Maisha,6,6,f
Maisha,6,7,f
Maisha,6,8,c
Maisha,6,9,c
Maisha,6,10,na
Maisha,7,1,c
Maisha,7,2,c
Maisha,7,3,f
Maisha,7,4,f
Maisha,7,5,c
Maisha,7,6,c
Maisha,7,7,f
Maisha,7,8,f
Maisha,7,9,c
Maisha,7,10,c
Maisha,8,1,c
Maisha,8,2,f
Maisha,8,3,f
Maisha,8,4,f
Maisha,8,5,f
Maisha,8,6,c
Maisha,8,7,c
Maisha,8,8,f
Maisha,8,9,f
Maisha,8,10,c
Maisha,9,1,f
Maisha,9,2,f
Maisha,9,3,c
Maisha,9,4,f
Maisha,9,5,f
Maisha,9,6,c
Maisha,9,7,c
Maisha,9,8,c
Maisha,9,9,c
Maisha,9,10,f
Maisha,10,1,f
Maisha,10,2,c
Maisha,10,3,f
Maisha,10,4,f
Maisha,10,5,f
Maisha,10,6,c
Maisha,10,7,f
Maisha,10,8,c
Maisha,10,9,c
Maisha,10,10,f
Maisha,11,1,c
Maisha,11,2,c
Maisha,11,3,f
Maisha,11,4,c
Maisha,11,5,c
Maisha,11,6,f
Maisha,11,7,c
Maisha,11,8,c
Maisha,11,9,c
Maisha,11,10,f
Maisha,12,1,f
Maisha,12,2,f
Maisha,12,3,f
Maisha,12,4,f
Maisha,12,5,f
Maisha,12,6,f
Maisha,12,7,f
Maisha,12,8,f
Maisha,12,9,c
Maisha,12,10,c
Maisha,13,1,f
Maisha,13,2,f
Maisha,13,3,f
Maisha,13,4,c
Maisha,13,5,f
Maisha,13,6,f
Maisha,13,7,f
Maisha,13,8,c
Maisha,13,9,f
Maisha,13,10,na
Maisha,14,1,f
Maisha,14,2,f
Maisha,14,3,c
Maisha,14,4,c
Maisha,14,5,c
Maisha,14,6,f
Maisha,14,7,f
Maisha,14,8,c
Maisha,14,9,f
Maisha,14,10,f
Maisha,15,1,f
Maisha,15,2,f
Maisha,15,3,c
Maisha,15,4,f
Maisha,15,5,f
Maisha,15,6,c
Maisha,15,7,f
Maisha,15,8,f
Maisha,15,9,f
Maisha,15,10,c
Maisha,16,1,c
Maisha,16,2,c
Maisha,16,3,c
Maisha,16,4,f
Maisha,16,5,c
Maisha,16,6,f
Maisha,16,7,f
Maisha,16,8,c
Maisha,16,9,c
Maisha,16,10,f
Maisha,17,1,c
Maisha,17,2,c
Maisha,17,3,c
Maisha,17,4,c
Maisha,17,5,c
Maisha,17,6,f
Maisha,17,7,c
Maisha,17,8,f
Maisha,17,9,c
Maisha,17,10,f
Maisha,18,1,f
Maisha,18,2,f
Maisha,18,3,f
Maisha,18,4,f
Maisha,18,5,f
Maisha,18,6,c
Maisha,18,7,c
Maisha,18,8,f
Maisha,18,9,c
Maisha,18,10,na
Maisha,19,1,c
Maisha,19,2,f
Maisha,19,3,c
Maisha,19,4,c
Maisha,19,5,c
Maisha,19,6,f
Maisha,19,7,f
Maisha,19,8,f
Maisha,19,9,f
Maisha,19,10,f
Maisha,20,1,f
Maisha,20,2,f
Maisha,20,3,f
Maisha,20,4,f
Maisha,20,5,c
Maisha,20,6,f
Maisha,20,7,f
Maisha,20,8,f
Maisha,20,9,f
Maisha,20,10,f
Maisha,21,1,c
Maisha,21,2,f
Maisha,21,3,f
Maisha,21,4,f
Maisha,21,5,f
Maisha,21,6,f
Maisha,21,7,f
Maisha,21,8,c
Maisha,21,9,c
Maisha,21,10,c
Maisha,22,1,f
Maisha,22,2,f
Maisha,22,3,f
Maisha,22,4,f
Maisha,22,5,c
Maisha,22,6,c
Maisha,22,7,c
Maisha,22,8,f
Maisha,22,9,c
Maisha,22,10,c
Maisha,23,1,c
Maisha,23,2,c
Maisha,23,3,f
Maisha,23,4,f
Maisha,23,5,f
Maisha,23,6,c
Maisha,23,7,c
Maisha,23,8,f
Maisha,23,9,f
Maisha,23,10,c
Maisha,24,1,f
Maisha,24,2,f
Maisha,24,3,f
Maisha,24,4,c
Maisha,24,5,f
Maisha,24,6,f
Maisha,24,7,f
Maisha,24,8,c
Maisha,24,9,c
Maisha,24,10,f
Maisha,25,1,c
Maisha,25,2,c
Maisha,25,3,f
Maisha,25,4,f
Maisha,25,5,f
Maisha,25,6,f
Maisha,25,7,f
Maisha,25,8,f
Maisha,25,9,f
Maisha,25,10,c
Maisha,26,1,f
Maisha,26,2,f
Maisha,26,3,f
Maisha,26,4,f
Maisha,26,5,c
Maisha,26,6,c
Maisha,26,7,c
Maisha,26,8,f
Maisha,26,9,c
Maisha,26,10,c
Maisha,27,1,c
Maisha,27,2,c
Maisha,27,3,f
Maisha,27,4,f
Maisha,27,5,c
Maisha,27,6,c
Maisha,27,7,c
Maisha,27,8,f
Maisha,27,9,f
Maisha,27,10,c
Maisha,28,1,f
Maisha,28,2,f
Maisha,28,3,f
Maisha,28,4,f
Maisha,28,5,c
Maisha,28,6,c
Maisha,28,7,f
Maisha,28,8,f
Maisha,28,9,c
Maisha,28,10,f
Maisha,29,1,f
Maisha,29,2,f
Maisha,29,3,c
Maisha,29,4,c
Maisha,29,5,f
Maisha,29,6,f
Maisha,29,7,f
Maisha,29,8,c
Maisha,29,9,c
Maisha,29,10,f
Maisha,30,1,f
Maisha,30,2,f
Maisha,30,3,f
Maisha,30,4,f
Maisha,30,5,f
Maisha,30,6,c
Maisha,30,7,c
Maisha,30,8,f
Maisha,30,9,c
Maisha,30,10,c
Maisha,31,1,na
Maisha,31,2,na
Maisha,31,3,na
Maisha,31,4,na
Maisha,31,5,na
Maisha,31,6,na
Maisha,31,7,na
Maisha,31,8,na
Maisha,31,9,na
Maisha,31,10,na
Maisha,32,1,f
Maisha,32,2,c
Maisha,32,3,c
Maisha,32,4,c
Maisha,32,5,f
Maisha,32,6,f
Maisha,32,7,f
Maisha,32,8,f
Maisha,32,9,f
Maisha,32,10,c
Maisha,33,1,c
Maisha,33,2,f
Maisha,33,3,f
Maisha,33,4,f
Maisha,33,5,c
Maisha,33,6,c
Maisha,33,7,f
Maisha,33,8,c
Maisha,33,9,c
Maisha,33,10,f
Maisha,34,1,f
Maisha,34,2,c
Maisha,34,3,c
Maisha,34,4,c
Maisha,34,5,c
Maisha,34,6,f
Maisha,34,7,f
Maisha,34,8,c
Maisha,34,9,f
Maisha,34,10,f
Maisha,35,1,c
Maisha,35,2,c
Maisha,35,3,f
Maisha,35,4,c
Maisha,35,5,f
Maisha,35,6,c
Maisha,35,7,c
Maisha,35,8,c
Maisha,35,9,c
Maisha,35,10,c
Teco,1,1,c
Teco,1,2,c
Teco,1,3,c
Teco,1,4,c
Teco,1,5,f
Teco,1,6,c
Teco,1,7,c
Teco,1,8,c
Teco,1,9,c
Teco,1,10,c
Teco,2,1,f
Teco,2,2,f
Teco,2,3,c
Teco,2,4,f
Teco,2,5,f
Teco,2,6,f
Teco,2,7,c
Teco,2,8,c
Teco,2,9,c
Teco,2,10,f
Teco,3,1,c
Teco,3,2,c
Teco,3,3,c
Teco,3,4,c
Teco,3,5,c
Teco,3,6,f
Teco,3,7,f
Teco,3,8,c
Teco,3,9,c
Teco,3,10,f
Teco,4,1,c
Teco,4,2,f
Teco,4,3,c
Teco,4,4,f
Teco,4,5,c
Teco,4,6,c
Teco,4,7,c
Teco,4,8,c
Teco,4,9,c
Teco,4,10,f
Teco,5,1,c
Teco,5,2,c
Teco,5,3,f
Teco,5,4,f
Teco,5,5,f
Teco,5,6,f
Teco,5,7,c
Teco,5,8,c
Teco,5,9,c
Teco,5,10,c
Teco,6,1,c
Teco,6,2,c
Teco,6,3,c
Teco,6,4,c
Teco,6,5,c
Teco,6,6,f
Teco,6,7,c
Teco,6,8,f
Teco,6,9,f
Teco,6,10,f
Teco,7,1,f
Teco,7,2,f
Teco,7,3,c
Teco,7,4,f
Teco,7,5,f
Teco,7,6,f
Teco,7,7,f
Teco,7,8,c
Teco,7,9,f
Teco,7,10,na
Teco,8,1,f
Teco,8,2,f
Teco,8,3,c
Teco,8,4,f
Teco,8,5,f
Teco,8,6,c
Teco,8,7,f
Teco,8,8,f
Teco,8,9,f
Teco,8,10,c
Teco,9,1,f
Teco,9,2,c
Teco,9,3,c
Teco,9,4,f
Teco,9,5,f
Teco,9,6,f
Teco,9,7,f
Teco,9,8,c
Teco,9,9,f
Teco,9,10,f
Teco,10,1,c
Teco,10,2,c
Teco,10,3,c
Teco,10,4,c
Teco,10,5,c
Teco,10,6,c
Teco,10,7,f
Teco,10,8,c
Teco,10,9,c
Teco,10,10,c
Teco,11,1,f
Teco,11,2,f
Teco,11,3,c
Teco,11,4,c
Teco,11,5,c
Teco,11,6,c
Teco,11,7,f
Teco,11,8,f
Teco,11,9,f
Teco,11,10,f
Teco,12,1,f
Teco,12,2,f
Teco,12,3,c
Teco,12,4,f
Teco,12,5,f
Teco,12,6,f
Teco,12,7,f
Teco,12,8,c
Teco,12,9,c
Teco,12,10,f
Teco,13,1,f
Teco,13,2,f
Teco,13,3,c
Teco,13,4,f
Teco,13,5,f
Teco,13,6,c
Teco,13,7,f
Teco,13,8,f
Teco,13,9,f
Teco,13,10,c
Teco,14,1,f
Teco,14,2,f
Teco,14,3,c
Teco,14,4,c
Teco,14,5,f
Teco,14,6,f
Teco,14,7,f
Teco,14,8,c
Teco,14,9,f
Teco,14,10,f
Teco,15,1,f
Teco,15,2,f
Teco,15,3,c
Teco,15,4,f
Teco,15,5,f
Teco,15,6,f
Teco,15,7,f
Teco,15,8,c
Teco,15,9,c
Teco,15,10,f
Teco,16,1,c
Teco,16,2,c
Teco,16,3,f
Teco,16,4,c
Teco,16,5,f
Teco,16,6,c
Teco,16,7,c
Teco,16,8,c
Teco,16,9,c
Teco,16,10,c
Teco,17,1,c
Teco,17,2,c
Teco,17,3,c
Teco,17,4,f
Teco,17,5,c
Teco,17,6,f
Teco,17,7,f
Teco,17,8,c
Teco,17,9,c
Teco,17,10,c
Teco,18,1,c
Teco,18,2,c
Teco,18,3,c
Teco,18,4,c
Teco,18,5,c
Teco,18,6,c
Teco,18,7,f
Teco,18,8,c
Teco,18,9,c
Teco,18,10,f
Teco,19,1,c
Teco,19,2,c
Teco,19,3,c
Teco,19,4,c
Teco,19,5,c
Teco,19,6,f
Teco,19,7,f
Teco,19,8,c
Teco,19,9,c
Teco,19,10,f
Teco,20,1,f
Teco,20,2,f
Teco,20,3,f
Teco,20,4,f
Teco,20,5,f
Teco,20,6,f
Teco,20,7,f
Teco,20,8,f
Teco,20,9,f
Teco,20,10,f
Teco,21,1,c
Teco,21,2,c
Teco,21,3,f
Teco,21,4,f
Teco,21,5,f
Teco,21,6,f
Teco,21,7,f
Teco,21,8,f
Teco,21,9,f
Teco,21,10,f
Teco,22,1,f
Teco,22,2,f
Teco,22,3,c
Teco,22,4,f
Teco,22,5,f
Teco,22,6,f
Teco,22,7,f
Teco,22,8,c
Teco,22,9,f
Teco,22,10,f
Teco,23,1,f
Teco,23,2,c
Teco,23,3,f
Teco,23,4,f
Teco,23,5,f
Teco,23,6,f
Teco,23,7,c
Teco,23,8,f
Teco,23,9,c
Teco,23,10,f
Teco,24,1,c
Teco,24,2,c
Teco,24,3,f
Teco,24,4,c
Teco,24,5,c
Teco,24,6,f
Teco,24,7,f
Teco,24,8,c
Teco,24,9,f
Teco,24,10,f
Teco,25,1,f
Teco,25,2,c
Teco,25,3,f
Teco,25,4,f
Teco,25,5,f
Teco,25,6,f
Teco,25,7,f
Teco,25,8,c
Teco,25,9,c
Teco,25,10,c
Teco,26,1,f
Teco,26,2,f
Teco,26,3,f
Teco,26,4,f
Teco,26,5,f
Teco,26,6,f
Teco,26,7,c
Teco,26,8,f
Teco,26,9,f
Teco,26,10,f
Teco,27,1,f
Teco,27,2,f
Teco,27,3,f
Teco,27,4,c
Teco,27,5,f
Teco,27,6,f
Teco,27,7,f
Teco,27,8,f
Teco,27,9,f
Teco,27,10,f
Teco,28,1,f
Teco,28,2,f
Teco,28,3,f
Teco,28,4,f
Teco,28,5,f
Teco,28,6,f
Teco,28,7,f
Teco,28,8,f
Teco,28,9,f
Teco,28,10,f
Teco,29,1,f
Teco,29,2,f
Teco,29,3,f
Teco,29,4,f
Teco,29,5,f
Teco,29,6,f
Teco,29,7,f
Teco,29,8,f
Teco,29,9,f
Teco,29,10,f
Teco,30,1,f
Teco,30,2,f
Teco,30,3,f
Teco,30,4,f
Teco,30,5,f
Teco,30,6,f
Teco,30,7,f
Teco,30,8,f
Teco,30,9,f
Teco,30,10,f
Teco,31,1,f
Teco,31,2,f
Teco,31,3,f
Teco,31,4,f
Teco,31,5,f
Teco,31,6,f
Teco,31,7,f
Teco,31,8,f
Teco,31,9,f
Teco,31,10,f
Teco,32,1,f
Teco,32,2,f
Teco,32,3,f
Teco,32,4,f
Teco,32,5,f
Teco,32,6,f
Teco,32,7,f
Teco,32,8,f
Teco,32,9,f
Teco,32,10,f
Teco,33,1,f
Teco,33,2,f
Teco,33,3,f
Teco,33,4,f
Teco,33,5,f
Teco,33,6,f
Teco,33,7,f
Teco,33,8,f
Teco,33,9,f
Teco,33,10,f
Teco,34,1,f
Teco,34,2,f
Teco,34,3,f
Teco,34,4,f
Teco,34,5,f
Teco,34,6,f
Teco,34,7,f
Teco,34,8,f
Teco,34,9,f
Teco,34,10,f
Teco,35,1,f
Teco,35,2,f
Teco,35,3,f
Teco,35,4,f
Teco,35,5,f
Teco,35,6,f
Teco,35,7,f
Teco,35,8,f
Teco,35,9,f
Teco,35,10,f
Teco,36,1,f
Teco,36,2,f
Teco,36,3,f
Teco,36,4,f
Teco,36,5,f
Teco,36,6,f
Teco,36,7,f
Teco,36,8,f
Teco,36,9,f
Teco,36,10,f
Teco,37,1,f
Teco,37,2,f
Teco,37,3,f
Teco,37,4,f
Teco,37,5,f
Teco,37,6,f
Teco,37,7,f
Teco,37,8,f
Teco,37,9,f
Teco,37,10,f
Teco,38,1,f
Teco,38,2,f
Teco,38,3,f
Teco,38,4,f
Teco,38,5,f
Teco,38,6,f
Teco,38,7,f
Teco,38,8,f
Teco,38,9,f
Teco,38,10,f
Teco,39,1,f
Teco,39,2,f
