ID,Species,Weight,Length,Width,Thickness,Analyst,Volume,Weight/Volume,Note
164,Bonobo,1549.6,159,115.6,112.5,CL,2067795,0.000749397,
165,Bonobo,1976.1,171,165,87,CL,2454705,0.000805025,
166,Bonobo,1128.9,139,90.8,87.5,CL,1104355,0.001022226,
167,Bonobo,987.6,129.6,128,87,CL,1443225.6,0.000684301,
168,Bonobo,1398.6,175,136,90.7,CL,2158660,0.000647902,
169,Bonobo,1592.7,179,137.3,77.1,CL,1894863.57,0.000840535,
170,Bonobo,1605.7,184,109.2,73.9,CL,1484857.92,0.001081383,
171,Bonobo,1322.4,203,119.1,63.4,CL,1532840.82,0.000862712,
172,Bonobo,1905.9,173,140,123.7,CL,2996014,0.000636145,
173,Bonobo,1121.6,194,135.1,60.5,CL,1585668.7,0.000707336,
174,Bonobo,2221.2,176,146,91.2,CL,2343475.2,0.000947823,
175,Bonobo,1540.5,184,120.8,70.1,CL,1558126.72,0.000988687,
176,Bonobo,1037.6,158,92.1,87.7,CL,1276192.86,0.000813043,
177,Bonobo,1592.8,171,146,72.9,CL,1820021.4,0.000875155,
178,Bonobo,1576.4,173,106.4,105.6,CL,1943800.32,0.000810989,
179,Bonobo,1190.7,141.8,129.1,102.1,CL,1869081.398,0.000637051,
180,Bonobo,1160.4,133.5,107.6,101.6,CL,1459443.36,0.000795098,
181,Bonobo,1801.8,180,155,85.4,CL,2382660,0.000756214,
182,Bonobo,2223.2,184,153,91.8,CL,2584353.6,0.000860254,
183,Bonobo,1844.2,146.7,129.1,106.7,CL,2020788.099,0.000912614,
184,Bonobo,1852.9,167,111.1,99,CL,1836816.3,0.001008756,
185,Bonobo,1970,188,161,91,CL,2754388,0.000715222,
186,Bonobo,764.3,147.3,109.4,62,CL,999106.44,0.000764984,
187,Bonobo,1989.8,168,126,119,CL,2518992,0.000789919,
188,Bonobo,1069.4,142.4,122,70.2,CL,1219570.56,0.000876866,
189,Bonobo,968,192,109.1,45.2,CL,946813.44,0.001022377,
190,Bonobo,1443.6,158,106,99.8,CL,1671450.4,0.000863681,
191,Bonobo,1802.3,192,143,75.8,CL,2081164.8,0.000866005,
192,Bonobo,1961.1,181,114,101,CL,2084034,0.000941012,
193,Bonobo,1118.3,131.9,129.4,91.8,CL,1566829.548,0.000713734,
194,Bonobo,1473.1,159,133,81,CL,1712907,0.00086,
195,Bonobo,1304.6,166,122.9,108,CL,2203351.2,0.000592098,
196,Bonobo,1199.2,154.8,124.8,91.7,CL,1771555.968,0.000676919,
197,Bonobo,782.4,167,79.2,69.4,CL,917912.16,0.000852369,
198,Bonobo,1129.8,148,121.6,74.5,CL,1340761.6,0.000842655,
199,Bonobo,608.3,133.7,96.1,68.7,CL,882696.759,0.000689138,
200,Bonobo,1195.2,167,106.7,68.9,CL,1227722.21,0.00097351,
201,Bonobo,1403.2,144,117.4,76.6,CL,1294968.96,0.001083578,
202,Bonobo,1400.6,188,123,81.8,CL,1891543.2,0.000740454,
203,Bonobo,981.6,123.3,114,101,CL,1419676.2,0.000691425,
204,Bonobo,943.8,165,122.3,54.9,CL,1107854.55,0.000851917,
205,Bonobo,807.8,144.9,107.7,63.9,CL,997206.147,0.000810063,
206,Bonobo,1981.8,160,136,117,CL,2545920,0.000778422,
207,Bonobo,1377.9,202,109.4,80,CL,1767904,0.000779398,
208,Bonobo,1485.5,204,126.1,106.7,CL,2744793.48,0.000541206,
209,Bonobo,1721.7,152.9,127,116.9,CL,2269999.27,0.000758458,
210,Bonobo,833,145,104.3,57.2,CL,865064.2,0.000962934,
211,Bonobo,991.9,164,99.6,61.2,CL,999665.28,0.000992232,
